,underlying_price,underlying_index,timestamp,stats,state,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,settlement_price,option_type
166,37055.63,BTC-30JUL21,1623313105105,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,130.2,0.577,0.7185,0.63617009,94.62,0.844,0.0,BTC-30JUL21-60000-P,36883.68,"{'vega': 26.59217, 'theta': -25.16876, 'rho': -77.20716, 'gamma': 1e-05, 'delta': -0.88515}",36883.68,31781518617,"[[0.1345, 2.5], [0.0005, 0.1]]",0.0,0.1345,2.5,1.135,2.5,"[[1.135, 2.5]]",466.89,0.63,P
167,37585.05,BTC-24SEP21,1623313097046,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.1,4.1665,4.5095,4.32552507,122.86,1.92,0.0,BTC-24SEP21-200000-P,36880.24,"{'vega': 7.28138, 'theta': -4.22042, 'rho': -579.50765, 'gamma': 0.0, 'delta': -0.98588}",36880.24,31270704296,[],0.0,0.0,0.0,0.0,0.0,[],0.0,4.3,P
168,37585.05,BTC-24SEP21,1623313097048,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,570.5,0.578,0.7655,0.65606041,93.58,0.6831,0.0,BTC-24SEP21-60000-P,36880.24,"{'vega': 64.32087, 'theta': -28.39605, 'rho': -153.48192, 'gamma': 2e-05, 'delta': -0.75029}",36880.24,31666771105,"[[0.05, 0.1], [0.001, 5.0], [0.0005, 0.1]]",0.0,0.05,0.1,0.0,0.0,[],0.0,0.65,P
169,37585.05,BTC-24SEP21,1623313097051,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,24.3,0.6725,0.7135,0.68734674,124.83,0.7465,0.0,BTC-24SEP21-12000-C,36880.24,"{'vega': 10.21937, 'theta': -6.0183, 'rho': 31.82142, 'gamma': 0.0, 'delta': 0.979}",36880.24,31781293668,"[[0.6745, 12.0]]",0.0,0.6745,12.0,0.701,12.0,"[[0.701, 12.0]]",161.14,0.69,C
170,36896.27,BTC-25JUN21,1623313097046,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,909.4,0.0001,0.015,1.4e-07,201.29,0.0005,0.0,BTC-25JUN21-6000-P,36880.24,"{'vega': 0.00058, 'theta': -0.00391, 'rho': -3e-05, 'gamma': 0.0, 'delta': 0.0}",36880.24,31781385856,[],0.0,0.0,0.0,0.0005,33.7,"[[0.0005, 33.7], [0.001, 3.7], [0.0015, 20.0], [0.002, 7.7], [0.0025, 15.0], [0.003, 15.0], [0.0045, 20.0], [0.005, 8.0], [0.0055, 5.0], [0.0075, 39.0], [0.008, 19.0], [0.0085, 5.0], [0.012, 0.3], [0.017, 1.0]]",354.22,0.0,P
171,37318.57,SYN.BTC-27AUG21,1623313097058,"{'volume': 7.3, 'price_change': -5.2036, 'low': 0.2065, 'high': 0.223}",open,6.6,0.147,0.2985,0.21084423,90.93,0.2095,0.0,BTC-27AUG21-40000-P,36880.24,"{'vega': 68.74806, 'theta': -40.07656, 'rho': -55.23306, 'gamma': 3e-05, 'delta': -0.48203}",36880.24,31781521224,"[[0.2095, 1.2], [0.209, 0.8], [0.207, 4.8], [0.1805, 0.4], [0.035, 1.5], [0.0005, 0.3]]",90.3,0.2095,1.2,0.2145,4.8,"[[0.2145, 4.8], [0.217, 1.1], [0.2175, 0.6]]",93.01,0.21,P
172,37319.26,SYN.BTC-27AUG21,1623313098055,"{'volume': 213.1, 'price_change': -29.1339, 'low': 0.045, 'high': 0.0635}",open,511.6,0.0155,0.099,0.0442146,104.38,0.045,0.0,BTC-27AUG21-25000-P,36882.28,"{'vega': 38.75793, 'theta': -25.9378, 'rho': -14.84438, 'gamma': 1e-05, 'delta': -0.14195}",36882.28,31781518793,"[[0.0435, 2.5], [0.043, 1.7], [0.0425, 8.3], [0.042, 8.0], [0.0345, 0.1], [0.022, 14.0], [0.017, 0.4], [0.0005, 0.3]]",103.7,0.0435,2.5,0.0455,8.5,"[[0.0455, 8.5], [0.046, 8.3], [0.0475, 0.9], [0.0485, 1.2], [0.067, 14.0]]",105.62,0.04,P
173,36860.07,BTC-18JUN21,1623313109144,"{'volume': 2.4, 'price_change': -2.9412, 'low': 0.066, 'high': 0.09}",open,170.8,0.028,0.1195,0.06694879,83.47,0.066,0.0,BTC-18JUN21-38000-P,36881.56,"{'vega': 21.38459, 'theta': -111.74112, 'rho': -5.16498, 'gamma': 9e-05, 'delta': -0.57335}",36881.56,31781524922,"[[0.066, 3.0], [0.0645, 1.0], [0.0615, 7.0], [0.058, 18.0], [0.05, 1.5], [0.031, 0.1], [0.0005, 0.1]]",81.81,0.066,3.0,0.0685,4.0,"[[0.0685, 4.0], [0.0705, 7.0], [0.075, 18.0], [0.1065, 0.8], [0.186, 2.0]]",86.11,0.07,P
174,36927.86,SYN.BTC-2JUL21,1623313098053,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,0.0001,0.027,0.00364898,104.44,,0.0,BTC-2JUL21-60000-C,36882.28,"{'vega': 7.61062, 'theta': -18.07456, 'rho': 0.78075, 'gamma': 1e-05, 'delta': 0.03875}",36882.28,31781385873,"[[0.0025, 8.0], [0.002, 8.0], [0.0005, 0.4]]",98.21,0.0025,8.0,0.005,8.0,"[[0.005, 8.0], [0.0055, 8.0]]",110.38,,C
175,36896.54,BTC-25JUN21,1623313098055,"{'volume': 5.5, 'price_change': 0.0, 'low': 0.0015, 'high': 0.0015}",open,1616.3,0.0001,0.0195,0.00146599,122.06,0.0015,0.0,BTC-25JUN21-64000-C,36882.28,"{'vega': 3.26753, 'theta': -13.30591, 'rho': 0.24642, 'gamma': 0.0, 'delta': 0.01773}",36882.28,31781492735,"[[0.001, 5.5], [0.0005, 109.5]]",116.11,0.001,5.5,0.002,55.4,"[[0.002, 55.4], [0.0025, 50.0], [0.004, 19.0], [0.0045, 55.0], [0.0085, 5.0], [0.0105, 0.9], [0.018, 0.1], [0.023, 4.5], [0.0255, 0.1], [0.026, 0.1], [0.032, 0.1], [0.0455, 10.0], [0.0545, 10.0], [0.06, 0.1], [0.0645, 10.0], [0.2, 0.2], [0.3, 0.4]]",127.48,0.0,C
