,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,option_type
24,35392.15,BTC-24SEP21,1623243721333,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.89,160.6,0.772,0.962,0.85018953,95.23,0.77,0.0,BTC-24SEP21-64000-P,34835.28,"{'vega': 51.28296, 'theta': -22.866, 'rho': -172.33881, 'gamma': 1e-05, 'delta': -0.81393}",34835.28,31750221268,"[[0.8085, 5.0], [0.001, 5.0]]",38.64,0.8085,5.0,0.0,0.0,[],0.0,P
25,35392.44,BTC-24SEP21,1623243721360,"{'volume': 45.7, 'price_change': 6.7757, 'low': 0.21, 'high': 0.2285}",open,0.24,340.5,0.188,0.333,0.25053022,98.03,0.2285,0.0,BTC-24SEP21-32000-C,34835.28,"{'vega': 68.85814, 'theta': -31.60395, 'rho': 44.01041, 'gamma': 2e-05, 'delta': 0.6755}",34835.28,31750224747,"[[0.2235, 8.0], [0.205, 0.4], [0.15, 0.1], [0.096, 10.0], [0.001, 5.0]]",84.18,0.2235,8.0,0.2765,8.0,"[[0.2765, 8.0], [0.3125, 0.5], [0.39, 7.0], [0.45, 0.1], [0.4795, 0.1], [0.5, 0.1], [0.65, 0.1]]",111.44,C
26,34855.94,BTC-18JUN21,1623243721333,"{'volume': 111.8, 'price_change': 58.8235, 'low': 0.0485, 'high': 0.081}",open,0.08,55.8,0.049,0.145,0.0916473,101.91,0.081,0.0,BTC-18JUN21-33000-C,34835.28,"{'vega': 19.71561, 'theta': -114.28588, 'rho': 4.80996, 'gamma': 7e-05, 'delta': 0.6646}",34835.28,31750224042,"[[0.089, 1.0], [0.086, 1.5], [0.08, 0.1], [0.0765, 0.4], [0.052, 5.0], [0.03, 0.5]]",97.3,0.089,1.0,0.093,1.5,"[[0.093, 1.5], [0.094, 1.0], [0.1215, 5.0]]",104.38,C
27,34823.2,BTC-11JUN21,1623243721334,"{'volume': 169.1, 'price_change': 160.0, 'low': 0.0025, 'high': 0.008}",open,0.0,449.6,0.0001,0.037,0.00551626,88.24,0.0065,0.0,BTC-11JUN21-37000-C,34835.28,"{'vega': 6.19448, 'theta': -152.65547, 'rho': 0.28266, 'gamma': 0.00012, 'delta': 0.17099}",34835.28,31750223801,"[[0.005, 36.5], [0.0045, 30.7], [0.004, 14.3], [0.0035, 2.0], [0.003, 32.0], [0.0025, 2.0], [0.002, 1.0], [0.0005, 11.6]]",85.39,0.005,36.5,0.006,5.8,"[[0.006, 5.8], [0.0065, 15.6], [0.007, 45.9], [0.0085, 12.0], [0.009, 30.0], [0.0115, 6.0], [0.013, 0.1], [0.0145, 0.2], [0.015, 20.9], [0.019, 0.8], [0.076, 14.0], [0.26, 10.0]]",91.02,C
28,34855.94,BTC-18JUN21,1623243721333,"{'volume': 1.0, 'price_change': 0.0, 'low': 0.0005, 'high': 0.0005}",open,0.0,221.9,0.0001,0.015,0.00016892,123.4,0.0005,0.0,BTC-18JUN21-60000-C,34835.28,"{'vega': 0.50516, 'theta': -3.54591, 'rho': 0.02435, 'gamma': 0.0, 'delta': 0.00307}",34835.28,31750125546,[],0.0,0.0,0.0,0.001,2.5,"[[0.001, 2.5], [0.0015, 51.0], [0.003, 0.5], [0.006, 7.0], [0.08, 2.0]]",149.84,C
29,35039.43,BTC-30JUL21,1623243721333,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.35,412.2,0.274,0.418,0.33528706,90.96,0.294,0.0,BTC-30JUL21-45000-P,34835.28,"{'vega': 44.3853, 'theta': -39.74643, 'rho': -51.20855, 'gamma': 3e-05, 'delta': -0.71487}",34835.28,31750224070,"[[0.01, 1.0], [0.0005, 0.3]]",0.0,0.01,1.0,0.418,0.4,"[[0.418, 0.4], [0.4225, 20.0], [0.8365, 2.5]]",150.17,P
30,34849.53,BTC-25JUN21,1623243721333,"{'volume': 0.2, 'price_change': -1.6949, 'low': 0.87, 'high': 0.885}",open,0.76,524.1,0.671,0.7905,0.72345204,121.83,0.87,0.0,BTC-25JUN21-60000-P,34835.28,"{'vega': 3.77872, 'theta': -14.57696, 'rho': -25.65609, 'gamma': 1e-05, 'delta': -0.97818}",34835.28,31750223182,"[[0.7, 6.0], [0.2235, 2.5], [0.025, 0.4], [0.0005, 0.1]]",0.0,0.7,6.0,0.746,6.0,"[[0.746, 6.0], [1.224, 2.5]]",200.32,P
31,34823.2,BTC-11JUN21,1623243721334,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.4,0.2,0.338,0.4265,0.37829886,154.45,0.3755,0.0,BTC-11JUN21-48000-P,34835.28,"{'vega': 0.13993, 'theta': -6.03616, 'rho': -2.35137, 'gamma': 0.0, 'delta': -0.99821}",34835.28,31750215555,[],0.0,0.0,0.0,0.879,2.5,"[[0.879, 2.5]]",500.0,P
32,34856.23,BTC-18JUN21,1623243721335,"{'volume': 16.4, 'price_change': -1.2579, 'low': 0.062, 'high': 0.0795}",open,0.1,15.3,0.0695,0.1655,0.11213784,105.95,0.0785,0.0,BTC-18JUN21-32000-C,34835.28,"{'vega': 18.00112, 'theta': -108.48458, 'rho': 5.15741, 'gamma': 6e-05, 'delta': 0.72648}",34835.28,31750224566,"[[0.109, 1.0], [0.098, 0.5], [0.0965, 0.4], [0.066, 1.0]]",99.92,0.109,1.0,0.1145,1.0,"[[0.1145, 1.0], [0.212, 2.5]]",110.59,C
33,34823.2,BTC-11JUN21,1623243721333,"{'volume': 2.7, 'price_change': -50.9302, 'low': 0.1055, 'high': 0.215}",open,0.14,52.5,0.087,0.1655,0.12129479,97.59,0.1055,0.0,BTC-11JUN21-39000-P,34835.28,"{'vega': 2.60599, 'theta': -71.02933, 'rho': -1.82612, 'gamma': 4e-05, 'delta': -0.94772}",34835.28,31750223997,"[[0.097, 7.0], [0.09, 0.8]]",0.0,0.097,7.0,0.1235,3.0,"[[0.1235, 3.0], [0.128, 4.8], [0.622, 2.5]]",119.2,P
